,amount,close,count,high,id,low,open,vol,date
0,20870.025741654328,9263.16,42106,9350.17,1572555600,9150.0,9318.05,1926428,2019-11-01 05:00:00
1,5345.208173777368,9265.65,9602,9291.83,1572559200,9230.04,9263.71,495124,2019-11-01 06:00:00
2,7350.226287840223,9290.13,13097,9305.83,1572562800,9253.01,9265.78,682462,2019-11-01 07:00:00
3,11888.363449522532,9266.87,20191,9293.17,1572566400,9245.07,9290.12,1101048,2019-11-01 08:00:00
4,6999.403461095038,9237.75,13469,9288.0,1572570000,9233.33,9267.96,647912,2019-11-01 09:00:00
5,12077.948980132021,9267.91,24583,9285.99,1572573600,9202.91,9237.74,1116014,2019-11-01 10:00:00
6,10666.118537301525,9214.95,22164,9267.7,1572577200,9190.0,9267.7,983428,2019-11-01 11:00:00
7,8386.503156684481,9224.42,18523,9250.0,1572580800,9185.0,9214.95,773128,2019-11-01 12:00:00
8,6299.752276744711,9224.99,13572,9256.19,1572584400,9221.0,9224.42,582098,2019-11-01 13:00:00
9,8067.630716961797,9267.63,16286,9287.43,1572588000,9218.0,9224.98,746634,2019-11-01 14:00:00
10,6409.772616485551,9258.81,13241,9280.23,1572591600,9240.0,9267.64,593134,2019-11-01 15:00:00
11,15903.367062682524,9283.85,31144,9336.02,1572595200,9255.66,9258.62,1477112,2019-11-01 16:00:00
12,8454.814699481976,9247.64,19019,9285.48,1572598800,9230.68,9283.5,782500,2019-11-01 17:00:00
13,11417.269482221385,9307.98,23793,9335.0,1572602400,9242.0,9247.63,1060504,2019-11-01 18:00:00
14,40698.30654595794,9315.81,73047,9450.0,1572606000,9284.0,9307.98,3811880,2019-11-01 19:00:00
15,14248.847497533887,9338.78,27854,9361.0,1572609600,9280.0,9315.81,1328184,2019-11-01 20:00:00
16,28249.134896120348,9254.22,51791,9375.35,1572613200,9210.98,9339.68,2619094,2019-11-01 21:00:00
17,12189.511786701043,9262.27,24219,9279.34,1572616800,9214.59,9254.22,1126844,2019-11-01 22:00:00
18,23394.09938330525,9224.79,43310,9399.0,1572620400,9218.0,9262.27,2176546,2019-11-01 23:00:00
19,19313.906819735545,9298.0,38645,9343.89,1572624000,9200.0,9224.79,1786366,2019-11-02 00:00:00
20,9294.158508397784,9305.67,18316,9350.0,1572627600,9282.52,9297.6,865452,2019-11-02 01:00:00
21,6168.592931287646,9333.12,12991,9350.0,1572631200,9300.0,9305.67,574982,2019-11-02 02:00:00
22,4179.317840923652,9316.06,9236,9360.0,1572634800,9305.8,9334.41,390038,2019-11-02 03:00:00
23,3664.304364190164,9344.33,10053,9358.0,1572638400,9314.33,9315.39,342180,2019-11-02 04:00:00
24,9236.341717486815,9416.84,22321,9430.0,1572642000,9326.2,9343.79,866498,2019-11-02 05:00:00
25,9793.434701415861,9346.66,21059,9437.0,1572645600,9338.64,9416.85,918808,2019-11-02 06:00:00
26,6549.7891524760735,9388.25,15194,9406.0,1572649200,9340.55,9346.66,614598,2019-11-02 07:00:00
27,8094.601740890244,9408.2,19306,9424.93,1572652800,9374.0,9388.26,761040,2019-11-02 08:00:00
28,9967.512525794278,9395.76,25140,9433.61,1572656400,9385.0,9408.2,937808,2019-11-02 09:00:00
29,7545.569472662595,9412.71,16212,9412.71,1572660000,9364.0,9395.77,708334,2019-11-02 10:00:00
30,5340.411004395431,9403.42,13538,9425.0,1572663600,9390.0,9412.7,502312,2019-11-02 11:00:00
31,8314.729495594378,9354.83,16225,9410.0,1572667200,9352.22,9403.42,779318,2019-11-02 12:00:00
32,5676.01938452299,9368.19,12650,9386.83,1572670800,9346.49,9354.83,531662,2019-11-02 13:00:00
33,5116.73501138317,9358.52,12969,9381.88,1572674400,9345.0,9368.2,478874,2019-11-02 14:00:00
34,3239.5371888765612,9370.3,8665,9377.39,1572678000,9345.18,9358.52,303264,2019-11-02 15:00:00
35,7159.490470906838,9353.2,16835,9398.39,1572681600,9349.1,9370.3,670776,2019-11-02 16:00:00
36,3726.9555051085867,9362.85,9891,9376.0,1572685200,9353.2,9353.2,349130,2019-11-02 17:00:00
37,3719.460899755965,9375.33,8376,9382.04,1572688800,9357.48,9362.86,348494,2019-11-02 18:00:00
38,9022.480522297004,9398.13,22126,9430.0,1572692400,9375.33,9375.33,847994,2019-11-02 19:00:00
39,29709.763148347905,9486.74,53604,9515.03,1572696000,9357.11,9398.69,2803848,2019-11-02 20:00:00
40,21995.137949163913,9510.75,42244,9531.54,1572699600,9453.0,9484.36,2087336,2019-11-02 21:00:00
41,9151.761572213863,9469.99,22317,9515.53,1572703200,9469.99,9510.75,868486,2019-11-02 22:00:00
42,11211.084297980648,9479.0,23962,9484.27,1572706800,9422.08,9470.0,1059960,2019-11-02 23:00:00
43,7526.441666672458,9469.95,19633,9499.0,1572710400,9451.61,9479.0,713230,2019-11-03 00:00:00
44,6488.552942844159,9442.01,13904,9488.62,1572714000,9440.72,9469.96,613928,2019-11-03 01:00:00
45,4306.077935892748,9444.87,11460,9460.0,1572717600,9422.71,9442.01,406528,2019-11-03 02:00:00
46,3332.868257899581,9475.66,9733,9477.0,1572721200,9425.0,9444.86,315136,2019-11-03 03:00:00
47,2072.5049936062087,9464.91,6316,9475.66,1572724800,9438.71,9475.66,195936,2019-11-03 04:00:00
48,1736.533367353072,9430.83,6003,9464.91,1572728400,9430.0,9464.91,163958,2019-11-03 05:00:00
49,1409.6648181477422,9446.66,4335,9456.36,1572732000,9423.85,9430.83,133080,2019-11-03 06:00:00
50,2180.942738733534,9452.94,6103,9456.38,1572735600,9435.2,9446.65,206012,2019-11-03 07:00:00
51,5722.584037670246,9460.34,13539,9500.0,1572739200,9452.69,9452.95,542088,2019-11-03 08:00:00
52,2843.979385665237,9472.6,6318,9474.0,1572742800,9455.41,9460.34,269188,2019-11-03 09:00:00
53,10154.947820969075,9517.55,21711,9524.0,1572746400,9469.76,9472.73,964578,2019-11-03 10:00:00
54,8406.26067819228,9487.44,16105,9521.54,1572750000,9478.0,9517.55,797852,2019-11-03 11:00:00
55,21235.97063579675,9412.23,35248,9487.44,1572753600,9373.62,9487.43,2001986,2019-11-03 12:00:00
56,10587.004293904543,9414.11,19537,9422.59,1572757200,9377.96,9412.24,995664,2019-11-03 13:00:00
57,5226.556856925104,9406.34,10207,9428.0,1572760800,9401.0,9414.31,492070,2019-11-03 14:00:00
58,4950.475038802285,9392.0,8850,9415.35,1572764400,9390.0,9406.33,465554,2019-11-03 15:00:00
59,16426.551013042827,9355.65,27212,9392.48,1572768000,9324.0,9392.01,1538190,2019-11-03 16:00:00
60,6577.826080759557,9361.22,13220,9385.0,1572771600,9345.5,9357.6,616142,2019-11-03 17:00:00
61,21797.333862144,9285.85,38456,9361.22,1572775200,9250.0,9361.21,2025166,2019-11-03 18:00:00
62,8818.309440257364,9297.77,16397,9312.17,1572778800,9260.51,9285.86,819010,2019-11-03 19:00:00
63,13421.50606850725,9285.39,22843,9299.0,1572782400,9231.71,9297.77,1244208,2019-11-03 20:00:00
64,6715.530971993477,9295.64,12655,9310.0,1572786000,9260.27,9285.38,623686,2019-11-03 21:00:00
65,8907.425138208866,9271.57,18194,9318.0,1572789600,9263.17,9295.64,827190,2019-11-03 22:00:00
66,5377.62351788396,9305.52,12604,9308.34,1572793200,9255.0,9271.57,499578,2019-11-03 23:00:00
67,6431.312634520668,9288.02,11227,9305.28,1572796800,9265.0,9305.27,597448,2019-11-04 00:00:00
68,7958.777748647654,9281.27,16086,9289.55,1572800400,9238.9,9288.07,737140,2019-11-04 01:00:00
69,2476.0696039445825,9279.99,5934,9282.09,1572804000,9252.79,9281.28,229472,2019-11-04 02:00:00
70,1916.9946938771327,9252.95,4243,9293.0,1572807600,9252.94,9279.99,177874,2019-11-04 03:00:00
71,1874.572953858495,9266.67,5164,9279.99,1572811200,9252.95,9252.95,173750,2019-11-04 04:00:00
72,11338.723428435573,9270.37,19880,9295.0,1572814800,9181.0,9266.67,1046384,2019-11-04 05:00:00
73,8787.256280434856,9335.0,18054,9346.0,1572818400,9267.25,9270.38,818454,2019-11-04 06:00:00
74,8685.566204836154,9320.39,16770,9370.0,1572822000,9311.88,9335.0,810970,2019-11-04 07:00:00
75,7175.3524775349815,9287.8,13183,9335.84,1572825600,9268.96,9320.4,667236,2019-11-04 08:00:00
76,6095.4141464166805,9289.62,12161,9294.61,1572829200,9260.0,9287.79,565596,2019-11-04 09:00:00
77,6218.215649122353,9279.99,11749,9312.21,1572832800,9269.52,9289.62,577918,2019-11-04 10:00:00
78,5572.525874093707,9278.82,10912,9295.0,1572836400,9258.88,9279.99,516880,2019-11-04 11:00:00
79,5090.6056555560035,9256.56,12439,9278.83,1572840000,9240.0,9278.82,471368,2019-11-04 12:00:00
80,4126.309900796154,9264.98,8932,9276.0,1572843600,9251.76,9256.56,382346,2019-11-04 13:00:00
81,7304.376070904156,9286.2,14422,9300.0,1572847200,9259.99,9264.98,678330,2019-11-04 14:00:00
82,9680.497140977097,9304.49,18945,9326.27,1572850800,9286.21,9286.21,901072,2019-11-04 15:00:00
83,10231.140797315407,9274.0,17064,9320.87,1572854400,9271.11,9304.5,950844,2019-11-04 16:00:00
84,4762.486794309931,9299.87,13039,9300.0,1572858000,9273.99,9273.99,442288,2019-11-04 17:00:00
85,18636.184895081235,9340.74,32052,9357.0,1572861600,9299.87,9299.87,1739470,2019-11-04 18:00:00
86,24435.887838007304,9421.12,42725,9433.65,1572865200,9340.74,9340.75,2294150,2019-11-04 19:00:00
87,20154.968854690607,9394.61,33956,9445.83,1572868800,9393.0,9421.12,1896458,2019-11-04 20:00:00
88,8371.23541764939,9404.65,17326,9423.23,1572872400,9394.61,9394.62,787460,2019-11-04 21:00:00
89,21543.377376572687,9470.9,40145,9498.0,1572876000,9404.65,9404.66,2036378,2019-11-04 22:00:00
90,23314.230395930408,9481.09,30022,9486.68,1572879600,9461.0,9470.89,2207604,2019-11-04 23:00:00
91,19303.562070106018,9484.55,30417,9526.0,1572883200,9471.0,9481.1,1832770,2019-11-05 00:00:00
92,6695.954780959455,9505.99,13184,9517.08,1572886800,9482.88,9484.55,636138,2019-11-05 01:00:00
93,11405.006775516524,9451.3,17312,9506.76,1572890400,9442.32,9506.0,1080166,2019-11-05 02:00:00
94,6175.728969803162,9443.0,14001,9472.93,1572894000,9430.0,9450.85,583368,2019-11-05 03:00:00
95,57069.25181155025,9691.32,80978,9856.0,1572897600,9442.99,9443.0,5533242,2019-11-05 04:00:00
96,9883.279446685317,9643.0,16382,9709.48,1572901200,9643.0,9690.72,956058,2019-11-05 05:00:00
97,13937.952032258325,9584.44,28275,9657.99,1572904800,9567.82,9643.0,1339064,2019-11-05 06:00:00
98,9980.42964646391,9626.44,20415,9646.79,1572908400,9576.77,9584.77,960574,2019-11-05 07:00:00
99,9405.497996961109,9593.14,19161,9627.2,1572912000,9577.66,9627.2,902522,2019-11-05 08:00:00
100,14491.234299619502,9655.72,26078,9678.65,1572915600,9593.14,9593.14,1397228,2019-11-05 09:00:00
101,13228.557731619796,9659.57,24745,9690.34,1572919200,9626.31,9655.61,1277370,2019-11-05 10:00:00
102,8083.712243713873,9625.51,17208,9659.58,1572922800,9604.63,9659.57,778266,2019-11-05 11:00:00
103,8880.200387399384,9595.48,17509,9625.51,1572926400,9575.0,9625.5,851996,2019-11-05 12:00:00
104,6828.234057136345,9603.88,15539,9624.09,1572930000,9582.99,9595.48,655572,2019-11-05 13:00:00
105,28423.013223255806,9489.55,44913,9603.89,1572933600,9483.72,9603.89,2708306,2019-11-05 14:00:00
106,42039.61165864327,9407.36,67199,9489.56,1572937200,9350.0,9489.55,3951832,2019-11-05 15:00:00
107,12122.897221706213,9411.0,23321,9440.0,1572940800,9372.14,9407.36,1141042,2019-11-05 16:00:00
108,24890.020801167047,9473.31,42570,9516.93,1572944400,9405.2,9410.89,2357766,2019-11-05 17:00:00
109,12407.638886054301,9453.49,22255,9490.01,1572948000,9444.49,9472.73,1174136,2019-11-05 18:00:00
110,7034.266314592697,9467.07,14899,9483.14,1572951600,9440.1,9453.49,665748,2019-11-05 19:00:00
111,9719.829634807864,9482.4,20389,9518.0,1572955200,9455.91,9467.07,922682,2019-11-05 20:00:00
112,14164.113963855601,9415.38,26264,9500.0,1572958800,9400.0,9482.4,1338768,2019-11-05 21:00:00
113,29141.901037785537,9537.89,45912,9578.33,1572962400,9415.44,9415.45,2769964,2019-11-05 22:00:00
114,16469.132102421063,9571.99,33444,9590.0,1572966000,9516.09,9537.89,1573526,2019-11-05 23:00:00
115,21507.44493335956,9536.68,36838,9591.2,1572969600,9433.0,9571.99,2049340,2019-11-06 00:00:00
116,8368.34232481741,9541.2,17668,9587.84,1572973200,9522.87,9536.18,800274,2019-11-06 01:00:00
117,3552.7120790432937,9536.07,8469,9565.83,1572976800,9530.05,9541.2,339254,2019-11-06 02:00:00
118,5210.966116737489,9588.16,9858,9620.0,1572980400,9534.13,9536.07,498676,2019-11-06 03:00:00
119,10166.339073310106,9552.57,19589,9627.26,1572984000,9500.0,9588.14,970882,2019-11-06 04:00:00
120,3043.6208753566266,9538.78,6504,9599.0,1572987600,9534.21,9553.16,290964,2019-11-06 05:00:00
121,4988.971726272878,9508.5,11800,9545.18,1572991200,9480.23,9538.78,474106,2019-11-06 06:00:00
122,6279.73334590152,9502.05,13452,9535.0,1572994800,9485.0,9508.51,597404,2019-11-06 07:00:00
123,8497.306950177323,9482.83,18015,9518.0,1572998400,9462.0,9502.05,806440,2019-11-06 08:00:00
124,8850.623368367367,9498.81,15336,9499.99,1573002000,9455.0,9482.82,838218,2019-11-06 09:00:00
125,7532.32908926508,9490.0,13600,9528.0,1573005600,9489.01,9498.8,716098,2019-11-06 10:00:00
126,6581.1618724429145,9501.33,14777,9505.0,1573009200,9466.85,9490.0,623998,2019-11-06 11:00:00
127,13930.283790074753,9539.73,23100,9540.0,1573012800,9493.58,9502.24,1325830,2019-11-06 12:00:00
